tair,rh,D_air,irradiance,apar,Cs,bm_c,bm_n,rCN,Vm25,LAI,Ac,An,Reco,NEE
-4.3978,0.0,0.12946884021222688,0.0,0.0,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,1.3823381711761327,1.3823381711761327
-1.513,0.0,0.1599326696109681,0.0,0.0,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,1.688322598895364,1.688322598895364
1.7045,0.0,0.2013819528239807,0.0,118.96979999999999,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,2.110142743924553,2.110142743924553
5.0355,0.0,0.25421159622886297,0.0,425.27,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,2.658183307056794,2.658183307056794
8.253,0.0,0.3167003532789533,0.0,675.3632599999999,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,3.3223189816195187,3.3223189816195187
11.1378,0.0,0.38405595932977155,0.0,852.2058899999998,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,4.05772359786234,4.05772359786234
13.4932,0.0,0.4482516750894301,0.0,943.7463499999999,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,4.777350065117116,4.777350065117116
15.1587,0.0,0.49925869679079504,0.0,943.7463499999999,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,5.361960515471288,5.361960515471288
16.0208,0.0,0.5276434201549909,0.0,852.2058899999998,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,5.692137829044496,5.692137829044496
16.0208,0.0,0.5276434201549909,0.0,675.3632599999999,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,5.692137829044496,5.692137829044496
15.1587,0.0,0.49925869679079504,0.0,425.27,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,5.361960515471288,5.361960515471288
13.4932,0.0,0.4482516750894301,0.0,118.96979999999999,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,4.777350065117116,4.777350065117116
11.1378,0.0,0.38405595932977155,0.0,0.0,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,4.05772359786234,4.05772359786234
8.2531,0.0,0.31670249194614414,0.0,0.0,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,3.3223420102596877,3.3223420102596877
5.0355,0.0,0.25421159622886297,0.0,0.0,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,2.658183307056794,2.658183307056794
1.7045,0.0,0.2013819528239807,0.0,0.0,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,2.110142743924553,2.110142743924553
-1.513,0.0,0.1599326696109681,0.0,0.0,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,1.688322598895364,1.688322598895364
-4.3978,0.0,0.12946884021222688,0.0,0.0,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,1.3823381711761327,1.3823381711761327
-6.7532,0.0,0.10858273881792523,0.0,0.0,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,1.174112455849466,1.174112455849466
-8.7404,0.0,0.09630528554078464,0.0,0.0,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,1.023031519889236,1.023031519889236
-9.5478,0.0,0.0905205775025902,0.0,0.0,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,0.9673504829254153,0.9673504829254153
-9.5478,0.0,0.0905205775025902,0.0,0.0,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,0.9673504829254153,0.9673504829254153
-8.7404,0.0,0.09630528554078464,0.0,0.0,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,1.023031519889236,1.023031519889236
-7.1806,0.0,0.10843276882725288,0.0,0.0,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,1.1398394224094708,1.1398394224094708
-4.9747,0.0,0.1279336216864794,0.0,0.0,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,1.32815230437721,1.32815230437721
-2.2731,0.0,0.1560828509519446,0.0,0.0,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,1.601674066472087,1.601674066472087
0.7402,0.0,0.19394592837502922,0.0,121.50623999999999,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,1.973710776331742,1.973710776331742
3.8598,0.0,0.24164157356429192,0.0,429.03119,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,2.450150884510712,2.450150884510712
6.8731,0.0,0.2974326745519481,0.0,680.12426,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,3.0192717142815892,3.0192717142815892
9.5747,0.0,0.3569756090044125,0.0,857.6741399999999,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,3.6410652516731967,3.6410652516731967
11.7806,0.0,0.4132689977560246,0.0,949.58053,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,4.242605677012898,4.242605677012898
13.3404,0.0,0.45773014160045933,0.0,949.58053,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,4.72701877740884,4.72701877740884
14.1478,0.0,0.4823818598599627,0.0,857.6741399999999,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,4.999107655141781,4.999107655141781
14.1478,0.0,0.4823818598599627,0.0,680.12426,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,4.999107655141781,4.999107655141781
13.3404,0.0,0.45773014160045933,0.0,429.03119,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,4.72701877740884,4.72701877740884
11.7806,0.0,0.4132689977560246,0.0,121.50623999999999,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,4.242605677012898,4.242605677012898
9.5747,0.0,0.3569756090044125,0.0,0.0,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,3.6410652516731967,3.6410652516731967
6.8731,0.0,0.2974326745519481,0.0,0.0,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,3.0192717142815892,3.0192717142815892
3.8598,0.0,0.24164157356429192,0.0,0.0,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,2.450150884510712,2.450150884510712
0.7402,0.0,0.19394592837502922,0.0,0.0,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,1.973710776331742,1.973710776331742
-2.273,0.0,0.15608398848352717,0.0,0.0,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,1.6016851684691944,1.6016851684691944
-4.9747,0.0,0.1279336216864794,0.0,0.0,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,1.32815230437721,1.32815230437721
-7.1806,0.0,0.10843276882725288,0.0,0.0,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,1.1398394224094708,1.1398394224094708
-11.1614,0.0,0.09198014033669967,0.0,0.0,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,0.8649871439140601,0.8649871439140601
-11.9945,0.0,0.08618187510920525,0.0,0.0,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,0.816452350671983,0.816452350671983
-11.9945,0.0,0.08618187510920525,0.0,0.0,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,0.816452350671983,0.816452350671983
-11.1614,0.0,0.09198014033669967,0.0,0.0,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,0.8649871439140601,0.8649871439140601
-9.552,0.0,0.1041876308300519,0.0,0.0,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,0.967068907084699,0.967068907084699
-7.276,0.0,0.12394718223513387,0.0,0.0,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,1.132326958695776,1.132326958695776
-4.4885,0.0,0.1527094695688197,0.0,0.0,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,1.3736748863547148,1.3736748863547148
-1.3794,0.0,0.19176004994141507,0.0,150.60261999999997,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,1.7040298354758898,1.7040298354758898
