tair,rh,D_air,rad,apar,LAI,Ac,Reco,NEE
-9.8803,0.0,0.0,0.0,0.0,0.0,0.0,1.5783704335776374e8,1.5783704335776374e8
-7.1114,0.0,0.0,0.0,0.0,0.0,0.0,1.9123224895350692e8,1.9123224895350692e8
-3.7202,0.0,0.0,0.0,0.0,0.0,0.0,2.4190587986826465e8,2.4190587986826465e8
0.0621,0.0,0.0,0.0,0.0,0.0,0.0,3.144162617825152e8,3.144162617825152e8
3.9779,0.0,0.0,0.0,0.0,0.0,0.0,4.124604636185166e8,4.124604636185166e8
7.7602,0.0,0.0,0.0,0.0,0.0,0.0,5.360939435396941e8,5.360939435396941e8
11.1514,0.0,0.0,0.0,0.0,0.0,0.0,6.781506666040784e8,6.781506666040784e8
13.9203,0.0,0.0,0.0,0.0,0.0,0.0,8.216339735284233e8,8.216339735284233e8
15.8782,0.0,0.0,0.0,0.0,0.0,0.0,9.410594308298234e8,9.410594308298234e8
16.8917,0.0,0.0,0.0,0.0,0.0,0.0,1.0095467648447295e9,1.0095467648447295e9
16.8917,0.0,0.0,0.0,0.0,0.0,0.0,1.0095467648447295e9,1.0095467648447295e9
15.8782,0.0,0.0,0.0,0.0,0.0,0.0,9.410594308298234e8,9.410594308298234e8
13.9203,0.0,0.0,0.0,0.0,0.0,0.0,8.216339735284233e8,8.216339735284233e8
11.1514,0.0,0.0,0.0,0.0,0.0,0.0,6.781506666040784e8,6.781506666040784e8
7.7603,0.0,0.0,0.0,0.0,0.0,0.0,5.360976594726271e8,5.360976594726271e8
3.9779,0.0,0.0,0.0,0.0,0.0,0.0,4.124604636185166e8,4.124604636185166e8
0.0621,0.0,0.0,0.0,0.0,0.0,0.0,3.144162617825152e8,3.144162617825152e8
-3.7202,0.0,0.0,0.0,0.0,0.0,0.0,2.4190587986826465e8,2.4190587986826465e8
-7.1114,0.0,0.0,0.0,0.0,0.0,0.0,1.9123224895350692e8,1.9123224895350692e8
-9.8803,0.0,0.0,0.0,0.0,0.0,0.0,1.5783704335776374e8,1.5783704335776374e8
-7.3035,0.0,0.0,0.0,0.0,0.0,0.0,1.887028008489462e8,1.887028008489462e8
-8.3123,0.0,0.0,0.0,0.0,0.0,0.0,1.759585766786268e8,1.759585766786268e8
-8.3123,0.0,0.0,0.0,0.0,0.0,0.0,1.759585766786268e8,1.759585766786268e8
-7.3035,0.0,0.0,0.0,0.0,0.0,0.0,1.887028008489462e8,1.887028008489462e8
-5.3548,0.0,0.0,0.0,0.0,0.0,0.0,2.159931914681897e8,2.159931914681897e8
-2.5988,0.0,0.0,0.0,0.0,0.0,0.0,2.614592002043318e8,2.614592002043318e8
0.7765,0.0,0.0,0.0,0.0,0.0,0.0,3.30377591504381e8,3.30377591504381e8
4.5412,0.0,0.0,0.0,0.0,0.0,0.0,4.288835067815086e8,4.288835067815086e8
8.4388,0.0,0.0,0.0,0.0,0.0,0.0,5.619126333766798e8,5.619126333766798e8
12.2035,0.0,0.0,0.0,0.0,0.0,0.0,7.294534099908131e8,7.294534099908131e8
15.5788,0.0,0.0,0.0,0.0,0.0,0.0,9.217310407095397e8,9.217310407095397e8
18.3348,0.0,0.0,0.0,0.0,0.0,0.0,1.1157530432755075e9,1.1157530432755075e9
