Time,co2_maintn_mba,co2_growth,co2_maintn_mbd,mom_dom,pomo_mom
15566.0,4.534406777867923e-6,7.677009499006703e-5,2.341029858592905e-9,5.796744560333887e-6,5.410443206067901e-7
15567.0,4.4706870896799475e-6,7.570380304245665e-5,2.335309830068954e-9,5.798194235502308e-6,5.411854467004769e-7
15568.0,4.499380594837625e-6,7.477170180116185e-5,2.3297128295036894e-9,5.877461661436454e-6,5.513106041101944e-7
15569.0,4.432938849942184e-6,7.367107331558755e-5,2.3241789160197007e-9,5.878964465615401e-6,5.514518479343459e-7
15570.0,4.366422405366185e-6,7.255447489898347e-5,2.318710780097612e-9,5.880341514395165e-6,5.515791147710067e-7
15571.0,4.212000023009305e-6,7.126553570759458e-5,2.3132481452388905e-9,5.8036056993581436e-6,5.409088253622158e-7
15572.0,4.185444010290819e-6,6.887324219143877e-5,2.3080713368813993e-9,5.4801572214664545e-6,5.143185317056966e-7
15573.0,4.173428346536083e-6,6.700316227509814e-5,2.303276687867126e-9,5.306101709552889e-6,5.049166953555318e-7
15574.0,4.022088711675464e-6,6.372464536232809e-5,2.3006997401079667e-9,4.688476081346865e-6,4.6031779072499145e-7
15575.0,3.859865421849079e-6,6.0381665080383944e-5,2.3024404040112386e-9,4.053532364369566e-6,4.167381573078567e-7
15576.0,3.581706924492868e-6,5.7673164415832994e-5,2.3075348421956846e-9,3.56992511257868e-6,3.768187268603746e-7
15577.0,3.462036562924456e-6,5.546540632129674e-5,2.3146704714509634e-9,3.2821769843990716e-6,3.5808338010526964e-7
15578.0,3.3930785112794428e-6,5.3068898934724626e-5,2.323102395358656e-9,2.9593935333884744e-6,3.4098601680944976e-7
15579.0,3.4248377346966216e-6,5.3158930823199336e-5,2.3304679092256288e-9,3.3715692699918674e-6,3.715182864339358e-7
15580.0,3.346314849217958e-6,5.071728302394271e-5,2.3390022095021303e-9,3.0397785057749123e-6,3.537320979811693e-7
15581.0,3.295637639480757e-6,4.901450909287591e-5,2.347857857976567e-9,2.928706986206664e-6,3.504074187889052e-7
15582.0,3.0571898323129995e-6,4.5730813434108514e-5,2.3570109061748613e-9,2.3214019305859163e-6,3.0766194324469813e-7
15583.0,2.861468593616811e-6,4.430158921404894e-5,2.366049794748871e-9,2.2599929236804205e-6,2.9656159883848276e-7
15584.0,2.7392176307068454e-6,4.216320520501e-5,2.3751548521563307e-9,2.0178661082512635e-6,2.813655538517547e-7
15585.0,2.5642298467794804e-6,3.980432376477502e-5,2.3842805696717936e-9,1.7067203132744952e-6,2.5862421251090645e-7
15586.0,2.3841595108707756e-6,3.722025005667744e-5,2.3934416264563843e-9,1.3377128296774245e-6,2.3264510909454264e-7
15587.0,2.2638982758974655e-6,3.5834750248550794e-5,2.4025643246131265e-9,1.3194361969857232e-6,2.2831699276787252e-7
15588.0,1.9294969340428065e-6,2.971692631353834e-5,2.4119928513078016e-9,0.0,9.76535210717867e-8
15589.0,1.847530878074121e-6,2.8353085886303455e-5,2.4214827990666692e-9,0.0,9.761021519241032e-8
15590.0,1.7912458213291839e-6,2.6985713139696818e-5,2.4310612165477813e-9,0.0,9.942241255740933e-8
15591.0,1.7063202740953316e-6,2.5605770229571807e-5,2.4406788336802873e-9,0.0,9.937717762554966e-8
15592.0,1.6148702204832219e-6,2.4106073950364718e-5,2.4503456634154093e-9,0.0,6.221428903931619e-8
15593.0,1.4921162268238906e-6,2.281181747241248e-5,2.4599556505580484e-9,0.0,9.562896969108626e-8
15594.0,1.3836786477551224e-6,2.130032387494615e-5,2.469576835776737e-9,0.0,5.873250677862812e-8
15595.0,1.2690240586809828e-6,1.899744529410703e-5,2.4791762332105316e-9,0.0,5.650839512374953e-8
15596.0,1.1757290893963572e-6,1.7215822948137015e-5,2.488821277590935e-9,0.0,5.538897118879895e-8
15597.0,1.0724890668728302e-6,1.5026708264874307e-5,2.4984939247346485e-9,0.0,5.3257916447514074e-8
15598.0,9.960452278218455e-7,1.3955649077841718e-5,2.5082957035793023e-9,0.0,5.3212175246455777e-8
15599.0,9.168120330270857e-7,1.2845508061163188e-5,2.5182283930156552e-9,0.0,5.316591030174893e-8
15600.0,1.6965733875186604e-6,2.3254115118332982e-5,2.5146909715182814e-9,4.948170030410836e-6,4.3460478520951226e-7
15601.0,1.650217119347938e-6,2.2618732054783406e-5,2.5106667014360064e-9,4.836321489282644e-6,4.23850360258834e-7
15602.0,1.5567838694357458e-6,2.0864126551942227e-5,2.5068483927207347e-9,4.585802503517709e-6,4.014494910216856e-7
15603.0,1.5375293508558532e-6,2.1542415412549863e-5,2.503420947853042e-9,4.555339930632887e-6,4.053924562138492e-7
15604.0,1.450521264436718e-6,2.0323339925731547e-5,2.5003820142365677e-9,4.3847928578082504e-6,3.932341532276875e-7
15605.0,1.448064148024427e-6,1.940705722411073e-5,2.4969023440855232e-9,4.8605430191902374e-6,4.243284160956476e-7
15606.0,1.3349713661464683e-6,1.7499485064138158e-5,2.4936060072811022e-9,4.609424932748357e-6,3.9996734428707514e-7
15607.0,1.2294157941257375e-6,1.6115808827437004e-5,2.490671096268473e-9,4.3731666094488125e-6,3.8249279669783806e-7
15608.0,1.044704592906619e-6,1.3387977729856335e-5,2.4889360043906026e-9,3.830622863568115e-6,3.424374047848351e-7
15609.0,1.110397762388537e-6,1.3910067795081366e-5,2.486145842719554e-9,4.442539621297061e-6,3.8139597229808255e-7
15610.0,1.0636480314490337e-6,1.302914482047975e-5,2.4834021135269025e-9,4.213602991264554e-6,3.618666484455982e-7
15611.0,1.0175499376277463e-6,1.2746953476235575e-5,2.481258647349845e-9,3.9269165560174285e-6,3.452460882585855e-7
15612.0,9.062683058873617e-7,1.1101323609400266e-5,2.48115290696785e-9,3.414428912432679e-6,3.09107265789595e-7
15613.0,7.850200170753478e-7,9.834027073798384e-6,2.4876431578658342e-9,2.84518747644096e-6,2.7701605068926067e-7
15614.0,5.864245972000623e-7,7.687152503928539e-6,2.4990775255716497e-9,1.9960357290199116e-6,2.3237819883444018e-7
15615.0,4.2964131841955944e-7,5.611448245976253e-6,2.511103285112077e-9,1.3982498312860558e-6,1.9755763187752053e-7
15616.0,8.708604654661197e-8,1.0426002185787905e-6,2.5238119835693794e-9,1.943189141499039e-7,1.2002529556178402e-7
15617.0,1.947164844959003e-8,2.2790941735618983e-7,2.5366846331042237e-9,0.0,7.139026615113192e-8
15618.0,8.445168875271527e-8,9.884800061076941e-7,2.5493370102931283e-9,1.9121384027539933e-7,1.1744299700798684e-7
15619.0,1.832577760418706e-8,2.0488340636065002e-7,2.562070261569369e-9,0.0,6.843836124396126e-8
15620.0,8.04198266880199e-8,8.990989843186816e-7,2.574582321466263e-9,1.853763329583884e-7,1.1257772761658954e-7
15621.0,7.99242119351501e-8,8.935579785832766e-7,2.5870144795845554e-9,1.8518987360376455e-7,1.1245502368916203e-7
15622.0,2.0869342519425862e-7,2.2795323568341784e-6,2.5990174930950362e-9,6.531291276542128e-7,1.3534400225950514e-7
15623.0,1.034279690408892e-6,1.1041003934253039e-5,2.5961918533959293e-9,4.145512403576658e-6,3.4296683700057346e-7
15624.0,1.0402305271048234e-6,1.0847059758494927e-5,2.5925092908044796e-9,4.0801237580869455e-6,3.3557674861803023e-7
15625.0,1.0389531202020569e-6,1.083373952932535e-5,2.5888669513364776e-9,4.075943898707165e-6,3.3518643150159417e-7
15626.0,1.0448541427710406e-6,1.0641647550498978e-5,2.5851432388258684e-9,4.011465309929781e-6,3.279373410236535e-7
15627.0,1.0435702246787856e-6,1.062857108052849e-5,2.581467261545595e-9,4.007415893912256e-6,3.275615777589686e-7
15628.0,1.0267421855203714e-6,1.0457180592268655e-5,2.5779022094688484e-9,3.944530236769102e-6,3.204931454728444e-7
15629.0,9.901613472993145e-7,1.0084611473273822e-5,2.5745307934644746e-9,3.802898353922275e-6,3.099632063889071e-7
15630.0,9.266701376453751e-7,9.437965163483462e-6,2.5715747757720605e-9,3.5552492063941272e-6,2.932208588805864e-7
15631.0,8.75513448839509e-7,9.1294635674263e-6,2.5697208304631648e-9,3.2926520971513678e-6,2.79196748192397e-7
15632.0,8.163806723003832e-7,8.51285336027268e-6,2.5698418994090813e-9,2.991942547199739e-6,2.607854421595153e-7
15633.0,7.181811451891757e-7,7.146614843998452e-6,2.5739606271666105e-9,2.5745189855836275e-6,2.3089542893219935e-7
15634.0,6.838759558423732e-7,6.645570342682527e-6,2.5799517332361167e-9,2.4311052960623497e-6,2.2002429561782485e-7
15635.0,5.993607837233757e-7,5.689514231013401e-6,2.5900960377634377e-9,2.07689306171751e-6,1.9760870003029212e-7
15636.0,5.27358783827414e-7,4.887630684714176e-6,2.601688210767561e-9,1.788639864586397e-6,1.7932104422457437e-7
15637.0,1.0575216202849731e-6,9.80124969862083e-6,2.5984557465924738e-9,3.7389470644718418e-6,2.9822927450154473e-7
15638.0,1.0563347980019733e-6,9.790250073345618e-6,2.594515250757603e-9,3.7352824375504827e-6,2.978996268665485e-7
15639.0,1.050468858385287e-6,9.735883772177533e-6,2.590651005434687e-9,3.716247058777499e-6,2.9469478612726453e-7
15640.0,1.0264661258994839e-6,9.743870118892692e-6,2.5870301910736893e-9,3.7118343009523836e-6,2.9603057185026696e-7
15641.0,9.783570104211458e-7,9.287187758970724e-6,2.5836715823767447e-9,3.536036082872951e-6,2.835699195071488e-7
15642.0,9.317466666992721e-7,9.054256056543061e-6,2.580837520050911e-9,3.3616053675310124e-6,2.745770390088002e-7
15643.0,8.729946436672264e-7,8.48333277945046e-6,2.5792266568019113e-9,3.0645797421215207e-6,2.561483602663375e-7
15644.0,8.133235613832436e-7,8.093376268217268e-6,2.5805084871864993e-9,2.7644745890149743e-6,2.408168335353038e-7
15645.0,7.371120757859906e-7,6.997137215056431e-6,2.585009140881687e-9,2.4715434468496086e-6,2.1879448909904586e-7
15646.0,1.038737842199801e-6,9.86036106462303e-6,2.5818802142144576e-9,3.766714809547384e-6,3.0191166474074295e-7
