Time,cPOMh,cPOMo,cMOM,cDOM,cQOM,cMBA,cMBD,cEM,nPOMh,nPOMo,nMOM,nDOM,nQOM,nMBA,nMBD,nEM
2.7957081982847855e-5,2.468482001828527e-5,0.11496957013743972,1.0047430340917154,1.0136240496155702e-5,2.6910621932088715e-6,0.0,0.014382425647103481,0.0001680306374179926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7823406749607484e-5,2.4741702805474522e-5,0.11496483605423653,1.0047008503526258,1.0104409720076124e-5,2.5576747838967332e-6,0.0,0.014366272185675448,0.00016798341514298338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7702669593749896e-5,2.4784488831760232e-5,0.1149602023103603,1.0046597795114052,9.999804944003083e-6,2.43313606021721e-6,0.0,0.01434991616479116,0.00016792797778661422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.75873465748977e-5,2.485174084898161e-5,0.11495557009996563,1.004618502101324,9.968154997743024e-6,2.3146613966728446e-6,0.0,0.014333623378316817,0.00016787246792809458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7477721841373538e-5,2.4928185516148578e-5,0.11495093940882745,1.004577018804604,9.936593173167306e-6,2.2019555210443906e-6,0.0,0.014317389664794965,0.00016781688570929285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7373563204026175e-5,2.497033177230502e-5,0.11494631022277423,1.0045353303039992,9.905118972283117e-6,2.094737538556349e-6,0.0,0.014301214626467967,0.00016776123129589343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7274643509984652e-5,2.5008093822360375e-5,0.11494168252774478,1.004493437282769,9.873731946898345e-6,1.9927402318080943e-6,0.0,0.01428509816650068,0.00016770550486588866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.718076783377654e-5,2.508495880078735e-5,0.11493705630975595,1.0044513404246473,9.842431660043428e-6,1.895709394792877e-6,0.0,0.014269040251234875,0.00016764970660584176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7086095361592566e-5,2.5151074192154953e-5,0.11493233276032941,1.0044077072490067,9.88252005680312e-6,1.8017450986059567e-6,0.0,0.014253296618886855,0.00016760187434729207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7002474928617958e-5,2.5204071861494756e-5,0.11492770923270597,1.0043652011259727,9.780329604145099e-6,1.714014228211888e-6,0.0,0.014237350333585875,0.0001675458627349721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6917389636754718e-5,2.5331637075761233e-5,0.11492298840465366,1.0043211573915276,9.820075472698489e-6,1.6290559845851564e-6,0.0,0.014221720664428733,0.00016749780919000264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6832164713646022e-5,2.5419886391571004e-5,0.11491817022408027,1.0042755726747914,9.858324734775487e-6,1.546891000350811e-6,0.0,0.014206389163824995,0.00016745761697363056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6746892360575147e-5,2.553991422744351e-5,0.11491325102140418,1.0042283948467503,9.89760943640003e-6,1.4674814268852336e-6,0.0,0.014191354987621517,0.00016742549860873518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6667045136996582e-5,2.5654274582136676e-5,0.11490833259165179,1.004181001838931,9.866793590679646e-6,1.3921483399701338e-6,0.0,0.0141763705902843,0.00016739315094442092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6597002060440024e-5,2.571205618939529e-5,0.11490351692238251,1.0041347798836637,9.766355351268018e-6,1.3219323084230994e-6,0.0,0.014161194488111227,0.0001673523268383118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
